Respondent ID,Collector ID,Start Date,End Date,In silico medicine - Not at all aware,In silico medicine - Slightly aware,In silico medicine - Moderately aware,In silico medicine - Very aware,In silico medicine - Extremely aware,Patient-specific modelling - Not at all aware,Patient-specific modelling - Slightly aware,Patient-specific modelling - Moderately aware,Patient-specific modelling - Very aware,Patient-specific modelling - Extremely aware,In silico clinical trials - Not at all aware,In silico clinical trials - Slightly aware,In silico clinical trials - Moderately aware,In silico clinical trials - Very aware,In silico clinical trials - Extremely aware,Virtual Physiological Human - Not at all aware,Virtual Physiological Human - Slightly aware,Virtual Physiological Human - Moderately aware,Virtual Physiological Human - Very aware,Virtual Physiological Human - Extremely aware,Personalized medicine - Not at all aware,Personalized medicine - Slightly aware,Personalized medicine - Moderately aware,Personalized medicine - Very aware,Personalized medicine - Extremely aware,Digital Twin - Not at all aware,Digital Twin - Slightly aware,Digital Twin - Moderately aware,Digital Twin - Very aware,Digital Twin - Extremely aware,Q2 Biomedical Engineering,Q2 Computer Science,Q2 Data Science,Q2 Statistics,Q2 Mathematics,Q2 Other,Q3 Finite Element Analysis awareness,Q3 Lumped-parameter models awareness,Q3 Computational Fluid Dynamics awareness,Q3 Fluid-structure interaction awareness,Q3 Multi-scale 1D-3D awareness,"Q3 Extended (e.g. Augmented, Virtual, Mixed) reality awareness",Q3 Artificial Intelligence/Machine Learning awareness,Q3 Statistical shape modelling awareness,Q4 Finite Element Analysis,Q4 Lumped-parameter models,Q4 Computational Fluid Dynamics,Q4 Fluid-structure Interaction,Q4 Multi-scale 1D-3D modelling,"Q4 Extended (e.g. Augmented, Virtual, Mixed) reality",Q4 Artificial Interlligence/Machine Learning,Q4 Statistical Shape Modelling,Q4 None,Q4 Other method applied,Q5 Team members for CMnS,Q6 clinical premises,Q7 role for CMnS in clinics,Q8 Agree statement 1,Q8 Agree statement 2,Q8 Agree statement 3,Q8 Agree statement 4,Q8 Agree statement 5,Q8 Agree statement 6,Q8 Agree statement 7,Q8 Agree statement 8,Q9 Enrich diagnosis,Q9 Plan interventions,Q9 Compare different therapeutic outcomes (retrospectively),Q9 Teach,Q9 Study Pathophysiology,Q9 Inform the patient on disease progress,Q9 Predict/compare therapeutic outcomes,Q9 None of the above,Q9 Other usage,Q10 use for planning,Q11 Cardiovascular,Q11 Musko-skeletal,Q11 Cancer,Q11 Neuro-degenerative,Q11 N/A,Q11 Other types of intervention,Q12 name procedure,Q13 how often,Q14 Trust scale,Q15 Successful post-hoc in silico clinical trials,Q15 Successful a priori in silico clinical trials,Q15 Personal positive experience,Q15 Regulatory approval,Q15 Other evidence,Q16 Demo medical specialty,Q17 Country,Q18 Current position,Q19 Age group,Q20 Articles,Q21 Grants,Q22 Funding,Q23 Collaboration Europe,Q23 Collaboration North America,Q23 Collaboration South America,Q23 Collaboration Africa,Q23 Collaboration Asia,Q23 Collaboration Oceania,Q24 Involvement in CT,Q25 CE marking
12491689357,394364328,15/03/2021 12:43,15/03/2021 12:48,,,,Very aware,,,,,,Extremely aware,,,,Very aware,,,,,Very aware,,,,Moderately aware,,,,,Moderately aware,,,Biomedical Engineering,,,,,,Very familiar,Very familiar,Extremely familiar,Very familiar,Very familiar,Moderately familiar,Slightly familiar,Slightly familiar,Finite Element Analysis,Lumped-parameter models,Computational Fluid Dynamics,Fluid-structure Interaction,Multi-scale (1D-3D) modelling,,,,,,Yes,Yes,Definitely yes,Agree,Agree,Agree,Strongly agree,Disagree,Disagree,Disagree,Agree,Enrich diagnosis,Plan interventions,Compare different therapeutic outcomes (retrospectively),,,,Predict/compare therapeutic outcomes,,,Yes,Cardiovascular,,,,,,CABG,11-20 times,7,Successful post-hoc in silico clinical trials,Successful a priori in silico clinical trials,,Regulatory approval,,Cardiology,United Kingdom,Associate Professor,35-44,40,01-May,1 million GBP,Europe,,South America,Africa,Asia,,No,No
12489636368,394364328,14/03/2021 10:14,14/03/2021 10:18,Not at all aware,,,,,,Slightly aware,,,,Not at all aware,,,,,Not at all aware,,,,,,Slightly aware,,,,Not at all aware,,,,,,,,,,,Not at all familiar,Not at all familiar,Slightly familiar,Not at all familiar,Not at all familiar,Not at all familiar,Slightly familiar,Not at all familiar,,,,,,,,,None,,No,No,Definitely yes,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Strongly agree,Neutral,,,,,,,,None of the above,,No,Cardiovascular,,,,,,,Less than 5,5,Successful post-hoc in silico clinical trials,,Personal positive experience,,,Cardiology,south africa,professor,55-64,130,01-May,600 000 GBP,Europe,,,Africa,,,No,No
12486800508,394364328,12/03/2021 18:42,12/03/2021 18:49,,,,,Extremely aware,,,,,Extremely aware,,Slightly aware,,,,,,Moderately aware,,,,,,,Extremely aware,,,Moderately aware,,,,,,,,Clinician,Moderately familiar,Not at all familiar,Not at all familiar,Not at all familiar,Not at all familiar,Moderately familiar,Moderately familiar,Very familiar,Finite Element Analysis,,,,,,Artificial Interlligence/Machine Learning,Statistical Shape Modelling,,,Yes,Yes,Definitely yes,Agree,Agree,Agree,Agree,Strongly disagree,Agree,Agree,Strongly disagree,,Plan interventions,Compare different therapeutic outcomes (retrospectively),Teach,,Inform the patient on disease progress,Predict/compare therapeutic outcomes,,,Yes,,,,,,Craniofacial,Patient specific implants. Craniopagus twin separation  Craniofacial surgery,5-10 times,6,,Successful a priori in silico clinical trials,Personal positive experience,,,Surgery,UK,Professor of Craniofacial Surgery,55-64,200,01-May,"?2,000,000",Europe,,,,,,No,Yes
12486385759,394364328,12/03/2021 16:19,12/03/2021 16:29,Not at all aware,,,,,Not at all aware,,,,,Not at all aware,,,,,Not at all aware,,,,,,,,Very aware,,Not at all aware,,,,,,,,,,Clinical Cardiology,Slightly familiar,Not at all familiar,Moderately familiar,Not at all familiar,Not at all familiar,Not at all familiar,Very familiar,Not at all familiar,,,Computational Fluid Dynamics,,,,Artificial Interlligence/Machine Learning,,,,No,N/A,Probably yes,Neutral,Neutral,Disagree,Strongly disagree,Disagree,Agree,Neutral,Disagree,,Plan interventions,,,,,,,,Yes,Cardiovascular,,,,,,Coronary angioplasty and stenting,Less than 5,2,,Successful a priori in silico clinical trials,Personal positive experience,Regulatory approval,,Cardiology,UK,Consultant,45-54,25,None,N/A,Europe,,,,,,Yes,No
12486224732,394364328,12/03/2021 15:28,12/03/2021 15:32,,,,Very aware,,,,,Very aware,,,,Moderately aware,,,,,Moderately aware,,,,,,,Extremely aware,,Slightly aware,,,,,,,,,Clinical,Not at all familiar,Not at all familiar,Not at all familiar,Not at all familiar,Not at all familiar,Not at all familiar,Not at all familiar,Not at all familiar,Finite Element Analysis,,Computational Fluid Dynamics,,Multi-scale (1D-3D) modelling,,Artificial Interlligence/Machine Learning,,,,No,N/A,Definitely yes,Neutral,Agree,Agree,Strongly disagree,Disagree,Disagree,Disagree,Agree,Enrich diagnosis,,,,Study Pathophysiology,,Predict/compare therapeutic outcomes,,,No,,,,,,,"FFR-CT, HeartFlow; SofTMech",,6,Successful post-hoc in silico clinical trials,Successful a priori in silico clinical trials,Personal positive experience,,Scotland,Cardiology,United Kingdom,Professor,45-54,300,01-May,?10million,Europe,North America,,,,,Yes,No
12482038239,394364328,11/03/2021 09:44,11/03/2021 09:48,,,Moderately aware,,,,,Moderately aware,,,,Slightly aware,,,,,Slightly aware,,,,,Slightly aware,,,,Not at all aware,,,,,,,,,,Medical,Slightly familiar,Not at all familiar,Slightly familiar,Not at all familiar,Not at all familiar,Slightly familiar,Slightly familiar,Not at all familiar,,,,,,,,,None,,No,N/A,Probably yes,Agree,Neutral,Disagree,Neutral,Disagree,Agree,Neutral,Neutral,Enrich diagnosis,Plan interventions,,,,,,,,Yes,Cardiovascular,,,,,,Left ventricular outflow tract obstruction relief,Less than 5,8,,,Personal positive experience,,,Cardiology,UK,Consultant,45-54,20,None,0,,,,,,,No,No
12481742337,394364328,11/03/2021 06:46,11/03/2021 06:50,Not at all aware,,,,,Not at all aware,,,,,Not at all aware,,,,,Not at all aware,,,,,Not at all aware,,,,,Not at all aware,,,,,,,,,,Medical,Not at all familiar,Not at all familiar,Slightly familiar,Not at all familiar,Slightly familiar,Slightly familiar,Slightly familiar,Not at all familiar,,,Computational Fluid Dynamics,,,,,,,,No,N/A,Probably yes,Agree,Disagree,Neutral,Disagree,Disagree,Neutral,Agree,Agree,,,,Teach,,,,,,No,,,,,N/A,,,Less than 5,4,,,Personal positive experience,,,Cardiology,South Africa,Consultant ,35-44,1,None,,,,,,,,No,No
12481719941,394364328,11/03/2021 06:28,11/03/2021 06:40,,,Moderately aware,,,,,Moderately aware,,,,Slightly aware,,,,Not at all aware,,,,,,Slightly aware,,,,Not at all aware,,,,,Biomedical Engineering,,Data Science,,,Database devlopment,Not at all familiar,Not at all familiar,Moderately familiar,Very familiar,Moderately familiar,Not at all familiar,Slightly familiar,Slightly familiar,,,Computational Fluid Dynamics,Fluid-structure Interaction,Multi-scale (1D-3D) modelling,,,,,3D printing of vascular structures ,Yes,Yes,Probably yes,Neutral,Neutral,Agree,Agree,Strongly disagree,Neutral,Disagree,Neutral,Enrich diagnosis,Plan interventions,,Teach,,,,,Undersatnd haemodynamics better,Yes,Cardiovascular,,,,,,Catheterisation (and potential intervention) of congenital heart disease.,Less than 5,5,,,Personal positive experience,,,Cardiology,South Africa,Senior specialist and Director of cardiac catheterisation laboratory,55-64,60,01-May,,Europe,,,,,,Yes,No
12480172974,394364328,10/03/2021 19:01,10/03/2021 19:11,Not at all aware,,,,,,,Moderately aware,,,Not at all aware,,,,,Not at all aware,,,,,,Slightly aware,,,,Not at all aware,,,,,,,,,,Clinical Paediatric Cardiac Care Team,Not at all familiar,Not at all familiar,Moderately familiar,Slightly familiar,Moderately familiar,Slightly familiar,Slightly familiar,Not at all familiar,,,Computational Fluid Dynamics,,Multi-scale (1D-3D) modelling,,,,,,Yes,No,Probably yes,Agree,Neutral,Agree,Neutral,Disagree,Neutral,Neutral,Neutral,Enrich diagnosis,Plan interventions,,,,,,,,Yes,Cardiovascular,,,,,,Pulmonary artery and aortic ballooning and stenting.,5-10 times,7,,,Personal positive experience,,,Cardiology,South Africa,Cardiology Consultant,45-54,20,None,,Europe,,,Africa,,,No,No
12480115749,394364328,10/03/2021 18:43,10/03/2021 18:47,,Slightly aware,,,,,,,,Extremely aware,,,Moderately aware,,,,,Moderately aware,,,,,,,Extremely aware,,,Moderately aware,,,,,,,Mathematics,clinical pharmacology,Not at all familiar,Not at all familiar,Not at all familiar,Not at all familiar,Not at all familiar,Not at all familiar,Not at all familiar,Not at all familiar,,,,,,,,,None,,Yes,No,Not sure,Strongly agree,Agree,Agree,Neutral,Strongly disagree,Strongly disagree,Strongly agree,Neutral,,Plan interventions,,,,,Predict/compare therapeutic outcomes,,,No,,,Cancer,,,,,Less than 5,8,Successful post-hoc in silico clinical trials,Successful a priori in silico clinical trials,,,,Other,united states,Professor,45-54,24+,01-May,$4.5 million,Europe,North America,,,,,No,No
12480050291,394364328,10/03/2021 18:22,10/03/2021 18:28,,,Moderately aware,,,,,Moderately aware,,,Not at all aware,,,,,,,Moderately aware,,,,,,Very aware,,Not at all aware,,,,,Biomedical Engineering,,,Statistics,,,Moderately familiar,Not at all familiar,Moderately familiar,Not at all familiar,Not at all familiar,Moderately familiar,Very familiar,Not at all familiar,Finite Element Analysis,,Computational Fluid Dynamics,,,,,,,,Yes,No,Probably yes,Agree,Agree,Neutral,Neutral,Disagree,Disagree,Neutral,Neutral,,,,,,,,None of the above,,No,,,,,,,,,6,,,Personal positive experience,,,Cardiology,South Africa,Head of unit,55-64,45,None,,Europe,,,,,,No,No
12479741930,394364328,10/03/2021 16:52,10/03/2021 16:57,,,,,Extremely aware,,,,,Extremely aware,,,,,Extremely aware,,,,,Extremely aware,,,,,Extremely aware,,,,,Extremely aware,Biomedical Engineering,Computer Science,Data Science,Statistics,Mathematics,,Extremely familiar,Extremely familiar,Extremely familiar,Moderately familiar,Moderately familiar,Not at all familiar,Moderately familiar,Very familiar,Finite Element Analysis,Lumped-parameter models,Computational Fluid Dynamics,,Multi-scale (1D-3D) modelling,,Artificial Interlligence/Machine Learning,Statistical Shape Modelling,,,Yes,Yes,Definitely yes,Agree,Strongly agree,Disagree,Strongly agree,Strongly disagree,Agree,Strongly agree,Neutral,,Plan interventions,Compare different therapeutic outcomes (retrospectively),,,,Predict/compare therapeutic outcomes,,,Yes,Cardiovascular,,,,,,CRT implant,Less than 5,8,Successful post-hoc in silico clinical trials,Successful a priori in silico clinical trials,Personal positive experience,Regulatory approval,,Cardiology,uk,professor,35-44,180,>10,current is 3M GBP,Europe,North America,,,,Oceania,Yes,No
12479730874,394364328,10/03/2021 16:49,10/03/2021 16:55,,,,,Extremely aware,,,,Very aware,,,,,Very aware,,,,,Very aware,,,,,,Extremely aware,,,,Very aware,,,,,Statistics,,,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Extremely familiar,,,,,Multi-scale (1D-3D) modelling,"Extended (e.g. Augmented, Virtual, Mixed) reality",,,,,Yes,Yes,Probably yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,Study Pathophysiology,,,,,Yes,Cardiovascular,,,,,,,11-20 times,8,,Successful a priori in silico clinical trials,,,,,,,35-44,,01-May,,,,,,Asia,,Yes,Yes
12473403214,394364328,08/03/2021 16:58,08/03/2021 20:24,,,,Very aware,,,,,Very aware,,,,Moderately aware,,,,,,Very aware,,,,Moderately aware,,,Not at all aware,,,,,Biomedical Engineering,,,,,,Very familiar,Very familiar,Extremely familiar,Extremely familiar,Very familiar,Moderately familiar,Very familiar,Not at all familiar,,Lumped-parameter models,Computational Fluid Dynamics,Fluid-structure Interaction,,,Artificial Interlligence/Machine Learning,,,,Yes,No,Definitely yes,Neutral,Neutral,Agree,Strongly agree,Strongly disagree,Strongly agree,Disagree,Neutral,,,,,Study Pathophysiology,,,,,No,Cardiovascular,,,,,,,Less than 5,9,Successful post-hoc in silico clinical trials,,,,,Cardiology,UK,Associate professor,35-44,30,01-May,not about computer modelling,Europe,,,,,,No,No
12471902008,394364328,08/03/2021 11:46,08/03/2021 11:50,,,,,Extremely aware,,,,,Extremely aware,,Slightly aware,,,,,Slightly aware,,,,,Slightly aware,,,,Not at all aware,,,,,,,,,,Clinical,Moderately familiar,Moderately familiar,Moderately familiar,,Moderately familiar,Moderately familiar,Very familiar,Very familiar,,,,,,,Artificial Interlligence/Machine Learning,Statistical Shape Modelling,,,No,No,Definitely yes,Neutral,Neutral,Agree,Agree,Disagree,Disagree,Strongly agree,Neutral,,,,Teach,Study Pathophysiology,,,,,No,,,,,,,,,5,Successful post-hoc in silico clinical trials,Successful a priori in silico clinical trials,,,,Cardiology,UK,Consultant,45-54,15,None,0,,,,,,,No,No
12468697826,394364328,06/03/2021 16:02,06/03/2021 16:07,,Slightly aware,,,,,Slightly aware,,,,,Slightly aware,,,,Not at all aware,,,,,,Slightly aware,,,,Not at all aware,,,,,,,,,,surgery,Not at all familiar,Not at all familiar,Not at all familiar,Not at all familiar,Not at all familiar,Slightly familiar,Slightly familiar,Not at all familiar,,,,,,,,,None,,No,N/A,Not sure,Disagree,Strongly disagree,Agree,Neutral,Disagree,Strongly disagree,Neutral,Disagree,,,,,,,,None of the above,,No,,,,,N/A,,,,1,Successful post-hoc in silico clinical trials,Successful a priori in silico clinical trials,,,,Surgery,belgium,"md, phd",55-64,108,None,,,,,,,,Yes,No
12468691788,394364328,06/03/2021 15:57,06/03/2021 16:03,Not at all aware,,,,,,,,Very aware,,Not at all aware,,,,,,Slightly aware,,,,,Slightly aware,,,,Not at all aware,,,,,,,,,,,Not at all familiar,Not at all familiar,Not at all familiar,Not at all familiar,Slightly familiar,Slightly familiar,Moderately familiar,Slightly familiar,,,,,,,,,None,,No,N/A,Definitely yes,Strongly disagree,Agree,Agree,Neutral,Disagree,Neutral,Agree,Agree,,Plan interventions,,,,Inform the patient on disease progress,,,,Yes,Cardiovascular,,,,,,,Less than 5,8,,,Personal positive experience,,,Cardiology,UK,Consultant ,35-44,25,01-May,,,,,,,,Yes,No
12468510434,394364328,06/03/2021 13:49,06/03/2021 13:58,,Slightly aware,,,,Not at all aware,,,,,Not at all aware,,,,,Not at all aware,,,,,Not at all aware,,,,,Not at all aware,,,,,,,,Statistics,,Cardiologist ,Not at all familiar,Not at all familiar,Slightly familiar,Slightly familiar,Not at all familiar,Not at all familiar,Slightly familiar,Slightly familiar,,,,,,,,,None,,No,No,Probably yes,Agree,Strongly agree,Neutral,Disagree,Disagree,Agree,Disagree,Agree,,,,,,,,None of the above,,No,,,,,N/A,,,,8,Successful post-hoc in silico clinical trials,,,,,Cardiology,Kuwait, cardiologist ,65+,22,None,,,,,,,,No,No
